	dominant_topic	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
33	17	0.172250	0.008356	0.007015	0.093552	0.005313	0.004738	0.004275	0.003895	0.003577	0.003307	0.003075	0.002873	0.002696	0.002540	0.002400	0.002276	0.191714	0.486148
34	15	0.008954	0.007241	0.006081	0.005241	0.004605	0.151883	0.003706	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002081	0.573520	0.215867	0.001787
35	15	0.008947	0.007239	0.249176	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.692206	0.001875	0.001787
36	15	0.012249	0.009873	0.008291	0.007146	0.295804	0.005600	0.005053	0.004604	0.004228	0.003908	0.003634	0.003395	0.003186	0.003002	0.002837	0.622198	0.002557	0.002436
37	17	0.005372	0.004344	0.337066	0.003144	0.002763	0.002464	0.002223	0.002026	0.001860	0.001720	0.001599	0.001494	0.001402	0.001321	0.001248	0.052897	0.194600	0.382458
38	0	0.826831	0.021720	0.018238	0.015721	0.013813	0.012318	0.011116	0.010127	0.009300	0.008598	0.007994	0.007470	0.007010	0.006603	0.006241	0.005917	0.005625	0.005360
39	15	0.009589	0.007756	0.006514	0.005614	0.004933	0.004400	0.003970	0.003617	0.003321	0.003071	0.002855	0.002668	0.002504	0.002358	0.002229	0.930678	0.002009	0.001914
40	5	0.346726	0.013579	0.011399	0.009825	0.183971	0.377400	0.006947	0.006329	0.005812	0.005374	0.004996	0.004668	0.004381	0.004127	0.003901	0.003698	0.003515	0.003350
41	5	0.012249	0.256824	0.008291	0.102340	0.199404	0.379362	0.005053	0.004604	0.004228	0.003908	0.003634	0.003396	0.003186	0.003002	0.002837	0.002690	0.002557	0.002436
42	15	0.009590	0.154760	0.006514	0.005615	0.004934	0.004400	0.003970	0.003617	0.003322	0.003071	0.002855	0.002668	0.002504	0.002358	0.002229	0.783670	0.002009	0.001914
43	1	0.019194	0.872625	0.013028	0.011229	0.009867	0.008799	0.007940	0.007234	0.006643	0.006141	0.005710	0.005336	0.005007	0.004717	0.004458	0.004226	0.004018	0.003828
44	17	0.085512	0.009052	0.007601	0.006551	0.005756	0.005133	0.004632	0.004220	0.003875	0.003583	0.003331	0.003113	0.002921	0.002752	0.002601	0.002466	0.282339	0.564563
